id,relevance
1,2.07341820560792
4,2.1576228926760384
5,2.1576228926760384
6,2.2771976294623557
7,2.114394870577102
8,2.1939939207893535
10,2.6996567162431426
11,2.6637251044284236
12,2.0814476898441003
13,2.6768999114769705
14,2.652706521635575
15,2.366604005677788
19,2.4537641163123154
22,2.73070524689926
24,2.548271736974987
25,2.2771976294623557
26,2.0738974716514296
28,2.5113483427268117
29,2.1939939207893535
30,2.1937333545800075
31,2.6768999114769705
32,2.4959743195675936
33,2.0715683278166783
36,2.2607336737258605
39,2.1576228926760384
40,2.6768999114769705
41,1.9730931432582532
42,2.4537641163123154
43,2.718602821834518
44,2.2771976294623557
45,2.535464807273765
46,2.548271736974987
47,2.351528750585578
49,2.73070524689926
50,2.5113483427268117
52,2.4537641163123154
53,2.2607336737258605
54,2.288297233225377
55,2.718602821834518
56,2.6768999114769705
57,2.1106140067480363
58,2.718602821834518
59,2.6768999114769705
60,1.939356473885667
61,2.4959743195675936
62,2.4537641163123154
63,2.366604005677788
64,2.6768999114769705
66,2.6085051517208324
67,2.2771976294623557
68,2.07341820560792
70,2.1939939207893535
71,2.4537641163123154
72,1.9730931432582532
73,1.98246172759315
74,2.0738974716514296
76,2.07341820560792
77,2.0738974716514296
78,2.0589732431628263
79,1.9730931432582532
80,2.0738974716514296
82,2.4537641163123154
83,2.4537641163123154
84,1.952321019059206
86,2.3104971421130522
87,2.6768999114769705
89,2.114394870577102
91,2.0738974716514296
93,1.939356473885667
94,2.0738974716514296
95,1.98246172759315
96,1.9730931432582532
97,2.0738974716514296
98,2.1895304296038973
99,1.9730931432582532
100,2.73070524689926
102,2.288297233225377
103,2.0738974716514296
104,2.0738974716514296
107,2.4959743195675936
108,2.0738974716514296
109,2.5258749219466012
110,2.2152011559543543
111,2.2152011559543543
112,2.4234426223749073
115,1.898891880825846
116,2.2771976294623557
118,2.4959743195675936
119,2.366604005677788
121,2.2607336737258605
124,2.6768999114769705
126,2.4537641163123154
128,2.1576228926760384
129,2.548271736974987
130,2.4537641163123154
131,2.332220801094834
132,2.332220801094834
133,2.6085051517208324
134,2.1266166348845714
