id,search_term,product_uid,relevance_int
5,simpson sku abl,100001,2.171869665384293
6,simpson strong tie,100001,2.787883535027504
10,bath shower kit,100003,2.6006379723548894
15,delta ashland shower faucet,100005,2.3575230538845067
24,self tap screw,100008,2.506542444229126
26,door trim,100009,2.1609989553689952
28,anchor stake,100010,2.4751709401607513
30,lawn edg,100010,2.1610579341650005
33,steel landscap edg,100010,2.1728976964950557
39,honda push mower,100011,2.5310594141483307
44,toro lawn moa,100011,2.2849337011575703
47,10 roll outsid blind,100012,2.20752702653408
50,roman shade,100012,2.490869089961052
54,garbag dispos button,100013,2.486124485731125
55,insinu dispos sink switch,100013,2.754948005080223
58,singl let switch,100013,2.1732953488826747
60,gorilla ladder model al 22,100014,1.945349261164665
63,6ft h bamboo fenc,100015,2.4493824690580364
64,bamboo fenc,100015,2.718205451965332
66,sun joy gazebo,100016,2.7659118622541428
70,door guard,100017,2.0757798701524734
72,metal,100017,2.1405780315399165
73,metal diamond grate,100017,1.9704159051179888
76,metal screen mesh,100017,2.266820967197418
78,protector plate door,100017,1.8866682052612305
79,radiat,100017,1.9712331891059875
80,radiat cover,100017,1.960422724485397
82,sheet metal,100017,2.5647104233503346
87,water,100018,2.5001734942197804
89,4 x 8 panel,100019,2.3718447983264923
93,b 08 string spool,100019,1.8964012712240224
94,bead board,100019,1.9997728466987614
96,bead,100019,2.001029267907143
97,ceil cover,100019,2.147601947188378
98,chair rail mould,100019,2.0612669736146927
102,panel bathroom,100019,2.2883103191852565
107,wainscot,100019,2.564066171646118
109,bazz light,100020,2.672390833497047
110,led light strip,100020,2.468928247690201
112,sprinkler system,100021,2.1441534012556076
118,sam sung,100022,2.7314939349889755
126,concret mortar,100023,2.304861545562744
128,heat resist spicket,100023,1.8296261876821518
129,quikret concret mix,100023,2.582802951335907
130,sakret concret,100023,2.3359133899211884
131,panel cart,100024,2.29236102104187
133,furnitur dolli,100025,2.696622371673584
134,12 x 18 brick paver,100026,2.309527605772019
135,16x24 concret paver,100026,2.298624321818352
139,paver stone,100026,2.7026991844177246
142,foil back insul bat,100027,1.9028068631887434
145,radiant barrier,100027,2.7488526850938797
154,door improv materi,100028,1.8214011937379837
155,door screen,100028,2.150715485215187
159,room divid screen,100028,1.8472141325473785
168,polish rock,100031,2.5645557940006256
169,river rock,100031,2.2414860129356384
174,garag storag rack,100033,2.369952335953712
176,h c concret,100033,2.0168648958206177
187,shelv unit metal wire,100033,2.703635796904564
194,storag unit,100033,2.581094205379486
196,quikret concret mix,100034,1.9992707669734955
197,stucco repair,100034,1.975305750966072
198,clock,100035,2.4542018622159962
199,clock,100035,2.5899239033460617
208,huski belt,100037,2.50676803290844
209,huski mesh tool belt,100037,2.2373127788305283
211,1 2 impact,100038,2.6373085379600525
224,propan,100039,2.164174363017082
230,vent free gas stove,100039,2.741545736789704
235,vinyl fenc,100040,2.705124989151954
236,led light strip,100041,2.474998697638512
238,led cabinet,100041,2.7135842740535736
240,10 rough toilet,100042,2.4761825203895573
242,american standard bone toilet,100042,2.777143880724907
246,toilet bowl,100042,2.4671487361192703
247,toilet bowl wrench,100042,2.4238464385271072
251,8 clip,100044,2.5892380326986317
252,lamp shade,100044,2.534719407558441
253,spray paint lamp shade,100044,2.189181536436081
256,hardwar,100045,2.3617198616266255
258,fan wire,100046,1.9406651407480238
260,fenc stake,100046,2.142957761883735
264,metal stake,100046,2.1900127232074738
268,post fenc accessori,100046,2.326211467385292
269,wire fenc 6ft high,100046,2.1893666684627537
271,13 gaug metal expand sheet,100047,2.363475367426872
277,fold ladder,100048,2.454495444893837
278,gorilla ladder model al 22,100048,1.9541192948818211
279,ladder,100048,2.599330022931099
281,telescop ladder,100048,2.6481604278087616
285,henri,100049,2.6656998991966248
287,sealer rv,100049,1.9583769589662554
288,door chair,100050,2.4853079169988637
289,door chair,100050,2.5663068890571594
291,stackabl chair,100050,2.4581760019063945
296,door chair,100051,2.3747483491897583
299,patio pouch chair,100051,2.2584160566329956
300,replac sky cushion,100051,2.411331012845039
302,patio umbrella,100052,2.6379050910472874
304,rebar,100053,1.9109543710947035
306,15 lite panel entri door,100054,2.2892799079418182
307,36 exterior steel door,100054,2.484673827886582
311,entri door,100054,2.3468728512525563
315,glass entri door,100054,2.4289206415414815
316,glass exterior door,100054,2.4411013126373295
321,faucet kitchen,100055,2.5802907198667526
322,handl pull,100055,2.4454442858695984
324,kitchen faucet singl handl,100055,2.671921297907829
328,moen kitchen faucet,100055,2.6870081871747966
329,moen kitchen faucet bramburi,100055,2.377108201384545
330,moen sink faucet,100055,2.6302108019590382
332,sink faucet soap dispens,100055,2.699393600225448
336,soap dispens spring,100055,2.39653542637825
337,de,100056,2.381074145436287
338,de icer,100056,2.6590013206005096
339,ice melt,100056,2.2230311334133144
342,batt insul,100057,2.6616840809583664
344,fiberglass roll,100057,2.3228088766336445
348,r 19,100057,2.4264272898435597
356,emerg light batteri,100058,2.66003443300724
358,lantern,100058,2.458063244819641
364,porch post,100060,2.5933822989463806
366,vinyl porch post,100060,2.670200034976006
367,vinyl post,100060,2.539719134569168
368,glass sheet,100061,2.2510084062814717
370,garbag dispos,100062,2.675293743610382
371,insinu dispos,100062,2.6882435381412506
372,sink dispos,100062,2.45724219083786
378,cherri allur,100064,2.6909376829862595
380,congolium,100064,1.8644920438528063
383,peel stick floor barn wood,100064,2.0612901151180267
386,vinal floor,100064,2.2677298039197926
388,vinyl floor,100064,2.5330375880002975
395,lacier bay toilet,100065,2.311103403568268
396,comfort height toilet,100065,2.435164660215378
406,glazer bay toilet,100065,2.3295679092407227
409,high effici round toilet white,100065,2.4273479431867604
410,high boy toilet,100065,2.5173127800226216
412,high toilet,100065,2.693242251873016
414,larg flush toilet,100065,2.4324434995651245
415,low,100065,1.8137041926383972
419,toilet bowl rebuild kit,100065,2.2348930984735493
420,toilet bowl high,100065,2.630714938044548
423,toilet replac part,100065,2.3098510503768916
424,toilet bowl,100065,2.6161377280950546
426,ice melt,100066,2.7392215877771378
428,4 rebar,100067,2.5256559550762177
429,concret bar,100067,2.316961705684662
430,post block,100067,2.1352456808090206
431,rebar,100067,2.717989906668663
432,40 gal gas water heater,100068,2.7310849726200104
435,40 gallon hot water tank,100068,2.4633177369832993
436,40 50 gallon hot water heater,100068,2.6322748959064484
437,50 gal water heater,100068,2.7275370955467224
438,50 gallon gas rheem water heater,100068,2.7130956798791885
439,50 gallon gas water heater,100068,2.654145658016205
441,artesian water heater,100068,2.255219742655754
442,gas water heater 40 gal,100068,2.7349231988191605
448,norton hot water heater ignit,100068,2.354223221540451
449,relianc water heater,100068,2.3012269288301463
450,rheem 30gallon electr water heater,100068,2.3368574231863017
451,rheem gas hot water heater 22vr75,100068,2.421589657664299
457,water heater 50 gal,100068,2.722010165452957
460,shark cleaner,100069,2.7180864363908768
464,led counter top light,100070,2.252000853419304
467,port abl counter light,100070,2.004952609539032
471,counter light,100070,2.3984950035810475
472,counter light,100070,2.3581910580396652
474,counter light,100070,2.347851902246475
482,huski 30 hing tote,100073,2.3988987356424327
483,huski tool bag,100073,2.3248513787984852
486,roman shade,100075,2.753747507929802
495,3 4' conduit,100077,1.9773344099521637
498,gas pipe,100077,2.282412484288216
502,refriger top freezer 4 3 cu ft stainless,100079,2.40987554192543
504,stainless refriger,100079,2.710213765501976
507,roller,100080,2.0837475955486293
509,bath shower kit,100081,2.678891226649285
514,shower kit 60,100081,2.7123750299215317
518,egress,100083,1.873593494296074
519,window well cover,100083,2.5671437084674835
520,glow dark paint,100084,2.595286056399345
522,concret paint rust ileum,100086,2.166540026664734
526,epoxi garag floor paint,100086,2.723979637026787
529,rust oleum epoxi shield,100086,2.768603593111038
530,rust oleum concret epoxi kit,100086,2.7025563418865204
532,rust oleum epoxi,100086,2.7542092800140385
534,car move ramp,100087,2.2956897765398026
537,ramp,100087,2.5022123754024506
538,22inch attic ladder,100088,2.3879732042551036
540,attic ladder instal,100088,2.591098725795746
541,attic stair,100088,2.465437889099121
545,trigger nozzl,100089,2.7475045770406723
546,water hose nozzl,100089,2.4752024114131927
552,air condition window narrow window,100090,2.431913927197456
555,lg air condition,100090,2.798186555504799
561,window ac manuel oper,100090,2.1744214594364166
565,pool cover pump,100091,2.2846231907606125
569,coat,100092,2.523638710379601
574,glidden deck clear stain,100092,2.131796360015869
577,rust oleum,100092,2.7163863331079483
578,18v drill brush,100093,2.380234867334366
586,arien,100094,2.67524303495884
587,arien snow blower,100094,2.7667212784290314
588,batteri start snowblow,100094,2.240402415394783
589,blower mulcher,100094,2.335017144680023
590,electr start snow blower,100094,2.758003666996956
592,snow rake,100094,2.3830733597278595
596,gas rang,100095,2.5705856233835216
598,gas rang part,100095,2.4863761961460114
602,ge rang,100095,2.661621481180191
603,ge stove,100095,2.390079349279404
607,mdf baseboard,100096,2.4392105787992477
609,trim,100096,1.8779056817293165
614,wood floor trim 2to 3,100096,2.1004832386970516
615,wood trim,100096,2.3077204674482346
618,hampton bay dine set 7 pcs,100097,2.2865703999996185
621,woodburi collect ion,100097,2.3184562623500824
622,woodburi patio,100097,2.753407284617424
623,dolli,100098,1.9217967540025707
624,plant caddi,100098,2.755156561732292
627,plastic caddi master carr,100098,2.0504059344530106
628,drill guid,100099,2.4066616743803024
632,steel edg,100100,2.367994055151939
633,eat resist epoxi,100101,1.8123017102479935
638,self tap screw,100102,2.6497210711240764
639,plier,100103,2.0943362116813664
645,cordless drill,100105,2.6876389533281326
648,lithium 2 pk batteri rigid,100105,2.1617787927389145
649,ridgid 18v,100105,2.513561397790909
650,ridgid cordless tool 20v impact,100105,2.472469061613083
651,ridgid impact driver,100105,2.7786110788583755
655,bahia grass weed killer,100107,2.4068951457738876
658,weed killer nut grass,100107,2.4502658843994145
664,ry obi comi attach,100110,2.415816470980644
672,screen repair kit,100111,2.5439535677433014
673,rug doctor,100112,2.690685778856278
675,port abl counter light,100113,1.9641091227531435
676,u line counter fridg,100113,1.813079059123993
678,counter light,100113,2.135469451546669
681,blind glass replac door,100115,2.3780697882175446
684,100 00 btu,100116,2.0770518481731415
685,10000 btu,100116,2.5495852380990986
692,3 piec brush set,100119,2.324409633874893
695,paint roller,100119,2.4127569943666454
697,dew alt palm sander replac part,100120,2.3557899594306946
698,electr sander,100120,2.4532086551189423
701,sander,100120,2.703793540596962
702,sander machin,100120,2.468977078795433
706,led light fixtur,100121,2.5467091351747517
707,squar ceil light,100121,2.605421558022499
708,squar light fixtur,100121,2.6000775396823887
711,water,100123,2.4543149024248128
714,delta hensley kitchen faucet,100125,2.347343474626541
716,kitchen faucet installt tool,100125,2.2063072025775905
